Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;PB_DOOR_SENS;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PB_STATUS;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2_REL:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2_REL:2;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_RESET;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_UR_RESET;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_PB_EN;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;E_STOP_PB;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10(PB_OFF);;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9(PB_ON);;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DOOR_UNLOCK;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DOOR_SENS_ON;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DOOR_LOCK;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;LOCK_COIL;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;+24V;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_DOOR_COIL;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_DOOR_COIL;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;LOCK_COIL;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SOOR_SENS_OFF;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DOOR_SENS_OFF;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DOOR_SENS_ON;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DOOR_LOCK;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_RESET_DOOR_SENS;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_DOOR_LOCK;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_TRIG;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_DOOR_COIL;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;RESET_DOOR_SENS;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DOOR_UNLOCK;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PB_DOOR_SENS;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;RESET_DOOR_SENS;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_SI1;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_SI1;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_SI0;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_SI0;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_SI1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_SI1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_SI0;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_SI0;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_RESET;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_DOOR_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PB_STATUS;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR1_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR2_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR3_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR3_SENS_A;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR2_SENS_A;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR1_SENS_A;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_FLOOR1_SENS_A;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_FLOOR2_SENS_A;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_FLOOR3_SESN_A;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V_FLOOR3;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V_FLOOR2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;0V_FLOOR1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR1_SENS_B;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR2_SENS_B;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_FLOOR3_SENS_B;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_FLOOR1_SENS_B;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_FLOOR2_SENS_B;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24V_FLOOR3_SENS_B;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24_FLOOR1_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24_FLOOR2_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;24_FLOOR3_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DI_FLOOR1_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DI_FLOOR2_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;DI_FLOOR3_COIL;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_EM_BUS;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;E_STOP_PB;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;UR_EM_BUS;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;;;02-13-08_B;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;;;02-13-08_B;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;;;02-13-08_B;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;;;02-13-08_B;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2_REL:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2_REL:2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_UR_RESET;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_PB_EN/PUC3:IN19;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_RESET_DOOR_SENS;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_DOOR_LOCK;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3_TRIG/PUC3:IN20;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;1,2,3,4;;;;07-02-04_B;2;0;Ano;Ano;Ano;;;;Ano
 (0);;1,2,3,4,5,6;;;;07-02-03_C1;2;0;Ano;Ano;Ano;;;;Ano
 (0);;13,,23,,33,,43,;;;;07-02-01_4;1;0;Ano;Ano;Ano;;;;Ano
 (0);;22,21;;;;07-02-03;1;0;Ano;Ano;Ano;;;;Ano
 (0);;22,21;;;;07-02-03;1;0;Ano;Ano;Ano;;;;Ano
 (0);;42,,34,,24,,14,;;;;07-02-03_B3;3;0;Ano;Ano;Ano;;;;Ano
 (0);;42,,34,,24,,14,;;;;07-02-03_B3;3;0;Ano;Ano;Ano;;;;Ano
 (0);;42,,34,,24,,14,;;;;07-02-03_B3;5;0;Ano;Ano;Ano;;;;Ano
 (0);;51,;;;;07-02-03;1;0;Ano;Ano;Ano;;;;Ano
 (0);;,14,,24,,34,,44;;;;07-02-01_4;1;0;Ano;Ano;Ano;;;;Ano
 (0);;,41,,33,,23,,13;;;;07-02-03_B3;3;0;Ano;Ano;Ano;;;;Ano
 (0);;,41,,33,,23,,13;;;;07-02-03_B3;3;0;Ano;Ano;Ano;;;;Ano
 (0);;,41,,33,,23,,13;;;;07-02-03_B3;5;0;Ano;Ano;Ano;;;;Ano
 (0);;,52;;;;07-02-03;1;0;Ano;Ano;Ano;;;;Ano
 (0);;,X2;;;;07-02-03;1;0;Ano;Ano;Ano;;;;Ano
 (0);;X1,;;;;07-02-03;1;0;Ano;Ano;Ano;;;;Ano
-S (0);-S;;;;;02-13-13;1;0;Ano;Ano;Ano;;;;Ano
-S (0);-S;;;;;02-13-05;1;0;Ano;Ano;Ano;;;;Ano
-S (0);-S;;;;;02-13-05;1;0;Ano;Ano;Ano;;;;Ano
EM0 (0);EM0;1,2,3,4;;;;07-02-03_2;5;0;Ano;Ano;Ano;;;;Ano
EM1 (0);EM1;1,2,3,4;;;;07-02-03_2;5;0;Ano;Ano;Ano;;;;Ano
EM2 (0);EM2;1,2,3,4;;;;07-02-03_2;5;0;Ano;Ano;Ano;;;;Ano
EM3 (0);EM3;1,2,3,4;;;;07-02-03_2;5;0;Ano;Ano;Ano;;;;Ano
K0 (0);K0;1,2,3,4;;;;07-02-03_2;1;0;Ano;Ano;Ano;;;;Ano
K1 (0);K1;1,2,3,4;;;;07-02-03_2;1;0;Ano;Ano;Ano;;;;Ano
K3 (0);K3;34,33,44,43;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
K4 (0);K4;34,33,44,43;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
K5 (1);K5;1,2,3,4;FINDER;7S.14.9.024.4220;;07-02-01_2;2;1;Ano;Ano;Ano;;;;Ano
K6 (0);K6;1,2;;;;07-02-03;2;0;Ano;Ano;Ano;;;;Ano
K7 (0);K7;1,2;;;;07-02-01;3;0;Ano;Ano;Ano;;;;Ano
K8 (1);K8;1,2,3,4;FINDER;7S.14.9.024.4220;;07-02-01_2;4;1;Ano;Ano;Ano;;;;Ano
Q3 (1);Q3;22,21;FINDER;7S.32.9.024.5110;;07-02-03;3;1;Ano;Ano;Ano;;;;Ano
Q4 (1);Q4;22,21;FINDER;7S.32.9.024.5110;;07-02-03;3;1;Ano;Ano;Ano;;;;Ano
Q5 (1);Q5;22,21;FINDER;7S.32.9.024.5110;;07-02-03;5;1;Ano;Ano;Ano;;;;Ano
Q6 (1);Q6;22,21;FINDER;7S.32.9.024.5110;;07-02-03;5;1;Ano;Ano;Ano;;;;Ano
S1 (0);S1;1,2,3,4;;;;07-02-03_2;1;0;Ano;Ano;Ano;;;;Ano
S2 (0);S2;1,2,3,4;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
S3 (0);S3;1,2,3,4;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
